"[array length","[loops]","[real time]"
"3","0","4200"
"3","2","32000"
"3","1","7200"
"3","3","10900"
"3","3","11600"
"3","6","14300"
"3","6","14200"
"3","5","12200"
"3","5","8700"
"3","17","10800"
"3","0","2100"
"3","8","7600"
"3","1","4000"
"3","8","6900"
"3","1","2700"
"3","1","3000"
"3","6","5100"
"3","13","6800"
"3","0","1300"
"3","7","4400"
"3","7","4000"
"3","10","9600"
"3","7","3800"
"3","5","3600"
"3","4","2900"
"3","4","7000"
"3","3","4200"
"3","0","1100"
"3","5","3000"
"3","3","2600"
"3","3","2800"
"3","7","3600"
"3","5","3100"
"3","19","7000"
"3","0","1100"
"3","0","1200"
"3","21","8000"
"3","7","3600"
"3","3","2400"
"3","8","4100"
"3","0","1400"
"3","2","19300"
"3","0","900"
"3","17","4900"
"3","3","1700"
"3","0","400"
"3","5","1600"
"3","0","400"
"3","2","1100"
"3","1","900"
"3","2","1100"
"3","6","1800"
"3","4","14200"
"3","7","2500"
"3","2","1200"
"3","2","1200"
"3","4","18100"
"3","6","1900"
"3","0","1000"
"3","0","700"
"3","6","1700"
"3","2","1700"
"3","13","3800"
"3","0","900"
"3","4","2000"
"3","39","8200"
"3","22","5000"
"3","2","800"
"3","7","1300"
"3","0","400"
"3","0","400"
"3","13","1900"
"3","10","1600"
"3","3","900"
"3","0","700"
"3","5","1200"
"3","0","400"
"3","0","400"
"3","1","700"
"3","0","400"
"3","3","900"
"3","3","1000"
"3","3","1000"
"3","10","1700"
"3","2","1000"
"3","2","800"
"3","0","600"
"3","0","400"
"3","3","1000"
"3","16","2400"
"3","4","1000"
"3","1","900"
"3","16","2400"
"3","1","800"
"3","0","400"
"3","0","400"
"3","7","1900"
"3","0","800"
"3","0","700"
"3","1","2300"
"4","14","4100"
"4","5","2600"
"4","82","14100"
"4","12","3000"
"4","4","1500"
"4","33","13800"
"4","8","9000"
"4","6","2000"
"4","17","3300"
"4","22","3600"
"4","6","1400"
"4","54","7600"
"4","41","6000"
"4","73","9900"
"4","0","400"
"4","76","20700"
"4","1","700"
"4","13","2300"
"4","104","13600"
"4","15","2600"
"4","8","1600"
"4","105","16100"
"4","2","900"
"4","5","1200"
"4","64","8600"
"4","89","13800"
"4","19","3100"
"4","22","3900"
"4","11","2000"
"4","10","1900"
"4","16","2800"
"4","37","5200"
"4","13","2300"
"4","1","700"
"4","1","1000"
"4","38","9700"
"4","14","2400"
"4","36","5000"
"4","7","1600"
"4","3","1100"
"4","0","500"
"4","104","13600"
"4","7","1600"
"4","4","1100"
"4","20","3300"
"4","54","7800"
"4","30","4300"
"4","83","11000"
"4","8","1600"
"4","39","5500"
"4","11","2100"
"4","3","1000"
"4","3","1100"
"4","30","4500"
"4","32","4800"
"4","36","5000"
"4","2","800"
"4","0","400"
"4","6","1400"
"4","0","400"
"4","7","1600"
"4","7","1600"
"4","29","4300"
"4","3","1100"
"4","4","1100"
"4","6","1400"
"4","21","3400"
"4","27","7500"
"4","22","3500"
"4","21","3400"
"4","19","3000"
"4","3","1000"
"4","9","1700"
"4","27","4100"
"4","21","3300"
"4","103","19700"
"4","4","1300"
"4","26","4000"
"4","7","1500"
"4","2","900"
"4","1","700"
"4","31","4900"
"4","38","5400"
"4","104","13600"
"4","48","6700"
"4","0","400"
"4","21","3600"
"4","11","2000"
"4","19","3000"
"4","39","5400"
"4","82","10600"
"4","16","2700"
"4","16","2700"
"4","22","3500"
"4","34","4900"
"4","2","900"
"4","33","4800"
"4","15","2600"
"4","104","13500"
"4","10","2000"
"5","159","31200"
"5","45","7500"
"5","38","6400"
"5","174","30000"
"5","131","21100"
"5","46","7800"
"5","275","42500"
"5","63","10300"
"5","65","10600"
"5","72","11600"
"5","335","87800"
"5","132","21100"
"5","126","20600"
"5","132","20800"
"5","145","22800"
"5","504","92600"
"5","207","32400"
"5","23","4400"
"5","140","22200"
"5","12","2600"
"5","40","6900"
"5","11","2300"
"5","194","30700"
"5","283","48400"
"5","113","18100"
"5","9","2100"
"5","355","55200"
"5","46","7000"
"5","248","34900"
"5","87","13900"
"5","8","1600"
"5","10","1900"
"5","134","17600"
"5","24","3900"
"5","94","14800"
"5","4","1700"
"5","278","35300"
"5","53","7300"
"5","95","12400"
"5","132","21500"
"5","181","23300"
"5","42","6000"
"5","34","4800"
"5","182","23400"
"5","171","21800"
"5","355","44600"
"5","60","12900"
"5","4","1000"
"5","216","27200"
"5","39","5300"
"5","19","3000"
"5","105","13700"
"5","68","9100"
"5","69","9000"
"5","20","3100"
"5","155","19400"
"5","32","4700"
"5","184","26200"
"5","46","6400"
"5","98","12800"
"5","2","800"
"5","55","7400"
"5","14","2500"
"5","8","1700"
"5","141","18200"
"5","23","3500"
"5","404","51400"
